Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,ROUND_ROBIN,100,4635.1138,3.4539,920.5331,0.5434,33.9942,0.0201,1722,1342,77.9326,21.7189,0,0.3484,380,374,0,6,0,934,712,384,307,404,323,3329.0,935.0,3329.0,9525.400000000089,0.0,0.0,867.3085101358392,0.1543,0.0005,0.0357,0.2104,197.9669,176.444,165.6192,193.9612,181.4085,185.9691,172.167,195.285,175.285,62616292468841005000,440959806118598660,36468428927688416,24895625256440705000,1383090292024483580,3952864641515652600,164702693396485536,33767802570884650000,337678025708846460,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,200,9662.2333,3.7234,2237.2847,0.7107,60.1053,0.0191,3318,2595,78.2098,21.6998,0,0.0904,723,720,0,3,0,1542,1227,576,456,1200,912,6378.0,1574.0,6378.0,21506.049999998686,0.0,0.0,816.086086974855,0.2859,0.0101,0.0693,0.3367,200.9403,177.1022,165.7342,196.943,184.3903,188.4015,174.5994,198.3116,175.3013,124174516172520000000,513117835423636350,37447079666019296,49464951859313480000,2748052881072971300,6920653395220140000,288360558134172480,67788910917986360000,338944554589931780,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,300,14460.0226,3.8183,3680.4463,0.7923,82.9826,0.0179,4878,3787,77.6343,22.1197,0,0.246,1091,1079,0,12,0,1878,1485,672,513,2328,1789,9461.0,1956.0,9461.0,29825.549999997394,0.0,0.0,818.5976944397364,0.3532,0.0726,0.0567,0.3937,201.7788,176.4385,164.9044,197.7871,185.2344,187.7604,173.9583,199.2721,174.5009,150617440366741750000,440401872417373570,30933957766839548,60077490235084230000,3337638346393568300,5970960223748029400,248790009322834560,84568989907909480000,281896633026364928,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,400,19866.9498,3.9926,5498.9316,0.9018,205.8173,0.0338,6488,4976,76.6954,23.0888,0,0.2158,1512,1498,0,14,0,2126,1675,785,580,3577,2721,12572.0,2304.0,12572.0,40716.04999999924,0.0,0.0,830.1785021095053,0.4112,0.087,0.0615,0.4467,202.4862,176.032,164.3745,198.5259,185.9731,187.6248,173.8226,200.0112,173.9906,177263252832669730000,401048083331831940,27380792837916240,71217549506479790000,3956530528137766400,5787291913925404700,241137163080225184,100258411412264520000,250646028530661280,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,500,24715.0248,4.069,6997.221,0.9341,148.2556,0.0198,8134,6074,74.6742,25.0184,0,0.3074,2060,2035,0,25,0,2354,1802,865,651,4915,3621,15755.0,2619.0,15755.0,50475.15000000271,0.0,0.0,838.7504081211268,0.5213,0.0183,0.0891,0.5601,202.5053,175.1653,163.4145,197.9062,185.3534,189.654,175.8519,200.2964,173.3067,178044674644670120000,328495709676513150,21951014011178660,61746928892963280000,3430384938497959900,9234259665804580000,384760819408524220,107063486085902250000,214126972171804512,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,600,30675.2169,4.2061,8486.8852,0.9404,1112.83,0.1233,9818,7293,74.2819,25.382,0,0.3361,2525,2492,0,33,0,2605,1949,960,756,6253,4588,18838.0,2759.0,18838.0,60147.6500000059,0.0,0.0,853.5304000459467,0.6382,0.0405,0.1185,0.6769,201.9722,173.8969,162.0622,196.6157,184.063,190.7593,176.9572,199.9867,172.2052,157479585170272030000,245295304003538976,16077548256280962,45874449839786140000,2548580546654785500,11910439989024438000,496268332876018240,99694695341461440000,166157825569102400,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,700,39695.4841,4.6811,10119.3514,0.9693,4448.785,0.4261,11444,8481,74.1087,25.4719,0,0.4194,2963,2915,0,48,0,2688,2144,1056,813,7700,5524,22533.0,3494.0,22533.0,75247.95000001292,0.0,0.0,855.3543661082759,0.5569,0.1318,0.1731,0.5809,204.8943,176.1903,164.3234,200.7137,188.161,191.7448,177.9427,202.4507,173.9997,308625290615088600000,415937049346480640,27060525262173488,117860637304341610000,6547813183574534100,14944484679911576000,622686861662982270,175820168630835400000,251171669472622016,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,800,46221.0033,5.0012,11482.4649,1.0017,7766.677,0.6775,12990,9242,71.147,28.3141,0,0.5389,3748,3678,0,70,0,2862,2208,1056,809,9072,6225,25103.0,3673.0,25103.0,79758.05000001626,0.0,0.0,864.7982425757014,0.4955,0.0384,0.1541,0.516,204.7317,175.4785,163.61,200.3393,187.7866,191.889,178.0869,202.3981,173.3672,297279789411776900000,353063882911849090,22961287511529848,108126413958631750000,6007022997701764100,15448960347407335000,643706681141972350,173704415105737820000,217130518882172288,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,900,54973.2979,5.3305,12466.6647,0.9775,12061.7971,0.9457,14766,10313,69.8429,29.5544,0,0.6027,4453,4364,0,89,0,2936,2132,1067,798,10763,7383,28265.0,3841.0,28265.0,88317.40000002328,0.0,0.0,876.9414500564399,0.6185,0.0827,0.1489,0.6417,204.2953,174.5547,162.6174,199.7356,187.1828,191.3577,177.5556,202.0709,172.5285,268859785798136950000,285413785348340704,18269895746000064,94092568980529430000,5227364943362746400,13670047755247254000,569585323135302210,161097169062360250000,178996854513733600,0,0,0,-1.0,[],[]
ALL,ROUND_ROBIN,1000,66099.7696,5.7037,14680.1594,1.0252,17309.7255,1.2088,16570,11589,69.9396,29.4387,0,0.6216,4981,4878,0,103,0,3180,2327,1152,836,12238,8426,31657.0,4051.0,31657.0,98728.65000002994,0.0,0.0,880.4151611488461,0.5696,0.0438,0.108,0.5901,204.9726,174.794,162.7944,200.5187,187.966,190.1864,176.3843,202.813,172.813,314241183573378660000,301575032220133060,19029926940796868,112685713992637840000,6260317444035435500,10438561333601235000,434940055566718140,191116908247139580000,191116908247139584,0,0,0,-1.0,[],[]
